meta,disease
0,0
0,1
0,2
0,3
0,4
0,5
1,6
1,7
2,5
3,0
3,5
3,6
3,8
3,9
3,10
3,11
4,12
5,5
5,6
5,14
5,15
6,6
6,14
6,15
7,5
7,6
7,14
7,15
8,2
8,6
9,5
9,6
9,8
9,14
9,15
9,16
9,17
9,18
9,19
10,20
11,5
11,6
12,21
13,6
14,16
14,22
15,5
15,6
15,16
15,23
15,24
15,25
15,26
16,8
17,27
18,0
18,5
18,14
18,15
19,0
19,5
19,6
19,9
19,11
19,13
19,14
19,15
20,6
20,14
20,15
20,28
20,29
20,30
21,31
22,1
22,6
23,5
23,6
23,14
23,15
23,32
23,33
23,34
23,35
23,36
24,2
24,4
24,5
24,6
24,14
24,15
24,17
24,19
24,26
24,33
24,34
24,35
24,37
24,38
25,0
25,2
25,4
25,5
25,6
25,8
25,9
25,11
25,14
25,15
25,17
25,19
25,37
25,39
25,40
25,41
26,5
26,13
26,42
27,0
27,6
27,9
27,11
27,14
27,15
28,0
28,5
28,6
28,9
28,11
28,14
28,15
28,35
29,37
29,43
29,44
29,45
30,37
30,46
31,8
31,31
31,36
31,47
31,48
31,49
31,50
32,6
32,14
32,51
32,52
32,53
32,54
33,0
33,5
33,6
33,9
33,11
33,14
33,15
33,40
33,41
33,55
34,13
34,14
34,15
35,5
35,6
35,8
35,13
35,14
35,15
35,35
36,3
36,4
36,5
36,6
36,17
36,40
36,41
36,56
36,57
37,8
37,31
37,36
37,58
37,59
37,60
38,0
38,5
38,6
38,8
38,9
38,11
38,14
38,15
38,17
38,29
38,35
38,39
38,41
38,61
38,62
38,63
39,6
39,8
39,26
39,27
39,51
39,52
39,54
39,57
39,64
39,65
39,66
39,67
39,68
39,69
39,70
39,71
39,72
39,73
39,74
40,8
40,75
40,76
40,77
40,78
41,6
41,8
41,40
41,41
41,79
41,80
41,81
41,82
41,83
42,5
42,6
43,0
43,5
43,8
43,9
43,11
43,17
44,0
44,5
44,8
44,76
44,77
44,78
44,84
44,85
45,6
45,55
45,78
45,86
45,87
46,31
46,36
47,19
48,5
49,6
50,0
50,40
50,41
50,88
51,1
51,5
51,72
51,89
52,0
52,6
52,9
52,11
52,14
52,15
52,42
53,1
53,5
53,6
53,14
53,15
54,0
54,2
54,4
54,5
54,6
54,8
54,9
54,11
54,14
54,15
54,17
54,19
54,35
54,37
54,41
54,42
55,0
55,6
55,9
55,11
56,0
56,5
56,6
56,9
56,11
56,14
56,15
56,17
56,18
56,35
56,36
56,40
56,41
57,1
57,5
57,6
57,14
57,17
57,32
58,0
58,5
58,14
58,15
58,33
58,39
58,90
59,5
59,6
59,91
60,0
60,35
60,92
61,1
61,5
61,14
61,15
61,17
61,33
61,34
61,35
61,93
62,0
62,5
62,6
62,9
62,11
62,13
62,14
62,15
62,16
62,35
62,40
62,41
62,94
63,5
63,6
63,8
63,17
63,28
63,95
63,96
64,5
64,8
64,16
64,19
64,20
64,33
64,34
64,84
64,97
64,98
64,99
64,100
64,101
65,0
65,36
65,102
66,0
66,5
66,6
66,8
66,15
66,31
66,52
66,65
66,73
66,74
66,75
66,103
66,104
67,0
67,2
67,3
67,4
67,5
67,6
67,7
67,8
67,9
67,11
67,14
67,15
67,17
67,19
67,33
67,35
67,37
67,38
67,40
67,41
67,105
67,106
67,107
67,108
67,109
67,110
68,0
68,9
68,11
69,8
69,26
69,42
70,0
70,6
70,9
70,11
71,5
71,8
71,14
71,15
71,44
71,62
71,63
71,89
72,5
72,14
72,15
72,111
73,5
73,6
73,8
73,14
73,15
73,35
73,112
74,0
74,6
74,9
74,11
74,113
75,5
75,6
75,14
75,15
76,0
76,5
76,6
76,17
76,35
76,36
77,6
77,14
77,15
77,28
77,34
77,61
77,114
77,115
78,5
78,6
78,8
78,14
78,15
78,35
78,116
79,5
79,17
79,35
79,36
79,41
80,5
80,6
80,92
81,50
82,0
82,3
82,5
82,6
82,7
82,8
82,14
82,15
82,16
82,33
82,35
82,40
82,41
82,68
82,118
83,2
83,4
83,5
83,6
83,15
83,35
83,40
83,41
84,70
85,50
86,6
87,0
87,5
87,6
87,9
87,11
87,14
87,15
87,17
87,30
87,35
87,36
87,40
87,41
87,42
87,89
87,113
87,119
87,120
88,0
88,3
88,5
88,6
88,7
88,8
88,9
88,11
88,14
88,15
88,16
88,22
88,33
88,35
88,39
88,40
88,41
88,84
88,121
